"Time [ms]","Moving1.Torque [mNewtonMeter]"
0,0.029754725447027
0.0833333333333333,-1.37603219016638
0.166666666666667,0.594280919184576
0.25,4.72750153339543
0.333333333333333,7.43465385562424
0.416666666666667,9.38144359640426
0.5,12.9382714675302
0.583333333333333,16.7443703400333
0.666666666666667,16.3897177198968
0.75,12.8864377416589
0.833333333333333,10.7008423339814
0.916666666666667,12.4862655787949
1,14.6895873264323
1.08333333333333,15.3939816975173
1.16666666666667,16.6927205062843
1.25,19.829118049381
1.33333333333333,21.2950210997202
1.41666666666667,18.4864696650028
1.5,14.4316865553564
1.58333333333333,13.5690638766971
1.66666666666667,15.6523408850944
1.75,16.7826643492125
1.83333333333333,17.09848350816
1.91666666666667,19.0152778086209
2,21.8947211627159
2.08333333333333,21.2336624269196
2.16666666666667,17.1832562214823
2.25,13.9071164488445
2.33333333333333,14.7871464751145
2.41666666666667,16.8492340785168
2.5,17.1831618685209
2.58333333333333,17.9691684185461
2.66666666666667,20.6729686992024
2.75,22.4394552704861
2.83333333333333,19.9471873900333
2.91666666666667,15.5916618259153
3,13.9299953427786
3.08333333333333,15.8728978926851
3.16666666666667,17.0878335409952
3.25,17.3722664273314
3.33333333333333,18.8849148535145
3.41666666666667,21.8534605611552
3.5,21.7782125763966
3.58333333333333,17.9901579782871
3.66666666666666,14.3286591173256
3.75,14.5981837298839
3.83333333333333,16.6765458763771
3.91666666666666,17.2804659851977
4,17.7995266285486
4.08333333333333,20.24540624153
4.16666666666667,22.4849374000327
4.25,20.5249474986136
4.33333333333333,16.1765266994093
4.41666666666667,13.8813725843612
4.5,15.50673112282
4.58333333333333,17.0395748588787
4.66666666666667,17.2748680635828
4.75,18.4852165175425
4.83333333333334,21.463902748224
4.91666666666667,22.08471804324
5,18.6201828416244
5.08333333333334,14.6745057339651
5.16666666666667,14.3093135235177
5.25,16.4447843473667
5.33333333333334,17.2880225824237
5.41666666666667,17.6571659671758
5.5,19.8188191376647
5.58333333333334,22.4122681511361
5.66666666666667,21.0449291708281
5.75000000000001,16.7335781660428
5.83333333333334,13.9725512381646
5.91666666666667,15.2198134547667
6.00000000000001,17.0410541843409
6.08333333333334,17.2813698555793
6.16666666666667,18.2605814351633
6.25000000000001,21.0962501083519
6.33333333333334,22.3099207241289
6.41666666666668,19.2808446394263
6.50000000000001,15.1105264761691
6.58333333333334,14.1296524532876
6.66666666666668,16.1887691316545
6.75000000000001,17.2723232419832
6.83333333333334,17.5862979325472
6.91666666666668,19.405854053067
7.00000000000001,22.1758073697942
7.08333333333335,21.4715125580706
7.16666666666668,17.4478338152803
7.25000000000001,14.1340663218845
7.33333333333335,14.9356862592144
7.41666666666668,16.8481174698359
7.50000000000001,17.2994255266593
7.58333333333335,18.0135969059806
7.66666666666668,20.6886816096108
7.75000000000001,22.4305636527089
7.83333333333335,19.8876673155565
7.91666666666668,15.5895395278486
8.00000000000001,13.9502314938534
8.08333333333335,15.8736273623497
8.16666666666668,17.1681340121695
8.25000000000001,17.3873634455188
8.33333333333335,18.9202892192952
8.41666666666668,21.8600494366174
8.50000000000001,21.8411188158638
8.58333333333334,18.0779661104037
8.66666666666668,14.410657357212
8.75000000000001,14.6699578504059
8.83333333333334,16.7491584638818
8.91666666666668,17.3254886662567
9.00000000000001,17.7812724946223
9.08333333333334,20.2613417790971
9.16666666666667,22.4177045957555
9.25000000000001,20.4145207622718
9.33333333333334,16.0974950187695
9.41666666666667,13.8345768069513
9.5,15.5180525163556
9.58333333333334,17.0533598506177
9.66666666666667,17.2689751123624
9.75,18.5518507882461
9.83333333333334,21.4834744187698
9.91666666666667,22.121905303265
10,18.7284121126061
10.0833333333333,14.7664540594566
10.1666666666667,14.4239368001354
10.25,16.5296171244822
10.3333333333333,17.3208911309419
10.4166666666667,17.6177350532731
10.5,19.7559710213403
10.5833333333333,22.3497513527572
10.6666666666667,20.9663887419606
10.75,16.7163380870104
10.8333333333333,13.9180235886189
10.9166666666667,15.20190621686
11,16.9817641393292
11.0833333333333,17.2761774632791
11.1666666666667,18.2697491107209
11.25,21.1846032183275
11.3333333333333,22.357793465323
11.4166666666667,19.3608086797963
11.5,15.167154333199
11.5833333333333,14.1769544413946
11.6666666666667,16.2804733072216
11.75,17.2914632263967
11.8333333333333,17.5118404113242
11.9166666666667,19.3038883059125
12,22.1539457346723
12.0833333333333,21.4219059650204
12.1666666666667,17.3195449044447
12.25,14.070548102042
12.3333333333333,14.8935510005895
12.4166666666667,16.8523210034184
12.5,17.2675425512162
12.5833333333333,17.9884600928905
12.6666666666667,20.700898053084
12.75,22.5020225481291
12.8333333333333,19.9917947803735
12.9166666666667,15.6539306314791
13,14.0284328147971
13.0833333333333,15.9256437520727
13.1666666666666,17.2237542708106
13.25,17.3880022521788
13.3333333333333,18.8851421577687
13.4166666666666,21.8137224814215
13.5,21.7118015282604
13.5833333333333,17.9634451278527
13.6666666666666,14.3190001049862
13.75,14.5991952379228
13.8333333333333,16.6887594976085
13.9166666666666,17.286587657406
14,17.8251254215024
14.0833333333333,20.25274596226
14.1666666666666,22.4793499629012
14.25,20.5751167771573
14.3333333333333,16.2298698522897
14.4166666666666,13.920536653169
14.5,15.5471137530027
14.5833333333333,17.0971797861703
14.6666666666666,17.2643096504082
14.75,18.5093186006535
14.8333333333333,21.4389337858611
14.9166666666666,22.0452120374761
15,18.5642133956785
15.0833333333333,14.6801971806424
15.1666666666666,14.3476114748417
15.25,16.5023053854169
15.3333333333333,17.3044004801182
15.4166666666666,17.6592958911965
15.5,19.7853306288838
15.5833333333333,22.3708227087356
15.6666666666666,21.0594215353842
15.75,16.9403949835707
15.8333333333333,14.0323133925427
15.9166666666666,15.2885326612689
16,17.019592371768
16.0833333333333,17.2704935252877
16.1666666666666,18.2268940353429
16.25,21.0553292028008
16.3333333333333,22.2879644574082
16.4166666666666,19.2958412129728
16.5,15.18844984575
16.5833333333333,14.1278186676504
16.6666666666666,16.1688566795623
16.75,17.2630583925549
16.8333333333333,17.5096243013265
16.9166666666667,19.3538096822734
17,22.171881810912
17.0833333333333,21.4787159387379
17.1666666666667,17.5044968090926
17.25,14.3186451717064
17.3333333333333,14.9727560045405
17.4166666666667,16.8877084526271
17.5,17.3045441132154
17.5833333333333,17.9524699707292
17.6666666666667,20.6345717526876
17.75,22.3874766826408
17.8333333333333,19.8687126028577
17.9166666666667,15.5873639575227
18,13.9725914427203
18.0833333333333,15.883867892536
18.1666666666667,17.2312111256762
18.25,17.4257754288107
18.3333333333333,18.9506288066795
18.4166666666667,21.8808153191724
18.5,21.8221842393885
18.5833333333333,18.1000677159723
18.6666666666667,14.4503725039201
18.75,14.6098553736833
18.8333333333333,16.7218970521703
18.9166666666667,17.3165369154617
19,17.8025396838695
19.0833333333334,20.1678286736366
19.1666666666667,22.4158597057377
19.25,20.428449529439
19.3333333333334,16.0585452914197
19.4166666666667,13.8040899779574
19.5,15.4719194179054
19.5833333333334,17.0561103605286
19.6666666666667,17.2917703254478
19.75,18.5674949166981
19.8333333333334,21.4836745276628
19.9166666666667,22.1065957981454
20,18.7182874900917
20.0833333333334,14.7019149692813
20.1666666666667,14.3905098648741
20.25,16.4761378820645
20.3333333333334,17.3075324619083
20.4166666666667,17.6466824693877
20.5,19.775818147961
20.5833333333334,22.3366262256522
20.6666666666667,20.9571466959329
20.75,16.6649381715058
20.8333333333334,13.8825332016387
20.9166666666667,15.1888136046544
21,16.9734861922896
21.0833333333334,17.3018914891727
21.1666666666667,18.2806046469488
21.2500000000001,21.1319289492968
21.3333333333334,22.3547986951301
21.4166666666667,19.354394407866
21.5000000000001,15.1547525753982
21.5833333333334,14.1807469899147
21.6666666666667,16.1714449693538
21.7500000000001,17.2187218435889
21.8333333333334,17.4629995406647
21.9166666666667,19.3165935783623
22.0000000000001,22.1406980064523
22.0833333333334,21.4340095688303
22.1666666666667,17.3484307830578
22.2500000000001,14.0457625945321
22.3333333333334,14.9046749455229
22.4166666666667,16.9487716469493
22.5000000000001,17.2661800441953
22.5833333333334,18.0384598835592
22.6666666666667,20.7299004650662
22.7500000000001,22.4857911846823
22.8333333333334,19.9850985921983
22.9166666666667,15.6231949498035
23.0000000000001,13.9566500920628
23.0833333333334,15.8953951732577
23.1666666666667,17.1067994994095
23.2500000000001,17.3881184315112
23.3333333333334,18.8980755860073
23.4166666666667,21.8641693332731
23.5000000000001,21.7869522706479
23.5833333333334,17.9973863060178
23.6666666666668,14.334739316091
23.7500000000001,14.6033570839454
23.8333333333334,16.6807939615803
23.9166666666668,17.2840665612799
24.0000000000001,17.8025304698895
24.0833333333334,20.2478769319136
24.1666666666668,22.4869133720566
24.2500000000001,20.5265839228999
24.3333333333334,16.17793491242
24.4166666666668,13.8825899880042
24.5000000000001,15.5077789295365
24.5833333333334,17.0403443639489
24.6666666666668,17.2755264715034
24.7500000000001,18.4857533689133
24.8333333333334,21.4643374730101
24.9166666666668,22.0850492407206
25,18.6204794383569
